
Processing writeweights.C...

Processing writeweights.C...
***********************************
*    Row   * Instance * MCTrack.f *
*      290 *        7 *    7.6875 *
*      291 *        3 *    7.6875 *
*      292 *        4 *    7.6875 *
*      293 *        5 *    7.6875 *
*      294 *        5 *    7.6875 *
*      294 *        6 *    7.6875 *
*      295 *        5 *    7.6875 *
*      296 *        6 *    7.6875 *
*      297 *       10 *    768.75 *
*      298 *        9 *    7.6875 *
*      299 *        5 *    7.6875 *
*      300 *        5 *    7.6875 *
*      301 *        5 *    7.6875 *
*      302 *        7 *    7.6875 *
*      303 *       11 *    7.6875 *
*      304 *        5 *    7.6875 *
*      305 *        8 *    7.6875 *
*      306 *        6 *    7.6875 *
*      307 *        5 *    7.6875 *
*      307 *        6 *    7.6875 *
*      308 *        5 *    7.6875 *
***********************************
==> 375 selected entries
